Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_15_11_qualimap_bamqc | Albuquerque_15_11	/home/santang3/scratch/glue/results/bam/final/Albuquerque_15_11_merged_sorted_dupsMarked.bam	4694361.0	4653693.0	628338396.0	626878677.0	104423.5063	156.0	12.8582	0.0223	0.6831	99.13368400938913
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_15_1_qualimap_bamqc | Albuquerque_15_1	/home/santang3/scratch/glue/results/bam/final/Albuquerque_15_1_merged_sorted_dupsMarked.bam	5107141.0	4762692.0	627036348.0	625782668.0	86692.4984	153.0	12.6932	0.0215	0.6817	93.25554160341373
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_15_2_qualimap_bamqc | Albuquerque_15_2	/home/santang3/scratch/glue/results/bam/final/Albuquerque_15_2_merged_sorted_dupsMarked.bam	4894008.0	4594656.0	594586383.0	593348481.0	86062.8323	147.0	12.4986	0.0218	0.6464	93.88329565460457
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_15_4_qualimap_bamqc | Albuquerque_15_4	/home/santang3/scratch/glue/results/bam/final/Albuquerque_15_4_merged_sorted_dupsMarked.bam	5241194.0	5046058.0	656851246.0	655548352.0	67130.5646	146.0	12.1829	0.0165	0.7141	96.27687889438933
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_15_5_qualimap_bamqc | Albuquerque_15_5	/home/santang3/scratch/glue/results/bam/final/Albuquerque_15_5_merged_sorted_dupsMarked.bam	1337641.0	1302317.0	164437773.0	164112216.0	55988.2754	135.0	9.915	0.0196	0.1788	97.359231662307
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_15_7_qualimap_bamqc | Albuquerque_15_7	/home/santang3/scratch/glue/results/bam/final/Albuquerque_15_7_merged_sorted_dupsMarked.bam	5660277.0	5580611.0	748352837.0	746649323.0	119914.0778	158.0	12.7941	0.023	0.8136	98.59254237910972
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_15_8_qualimap_bamqc | Albuquerque_15_8	/home/santang3/scratch/glue/results/bam/final/Albuquerque_15_8_merged_sorted_dupsMarked.bam	6166322.0	6102921.0	843410650.0	841284560.0	161310.3393	197.0	13.6672	0.0243	0.9169	98.97181820865015
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_15_9_qualimap_bamqc | Albuquerque_15_9	/home/santang3/scratch/glue/results/bam/final/Albuquerque_15_9_merged_sorted_dupsMarked.bam	4904183.0	4799931.0	671568652.0	669956500.0	146856.3036	190.0	13.4627	0.0239	0.7301	97.8742228827921
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_1_10_qualimap_bamqc | Albuquerque_1_10	/home/santang3/scratch/glue/results/bam/final/Albuquerque_1_10_merged_sorted_dupsMarked.bam	8428519.0	8179428.0	1128439878.0	1125823647.0	146584.7589	185.0	13.8597	0.023	1.2268	97.04466466765989
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_1_13_qualimap_bamqc | Albuquerque_1_13	/home/santang3/scratch/glue/results/bam/final/Albuquerque_1_13_merged_sorted_dupsMarked.bam	10227832.0	10002425.0	1305602555.0	1303074497.0	130001.8736	147.0	12.7343	0.0189	1.4194	97.79614096125161
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_1_19_qualimap_bamqc | Albuquerque_1_19	/home/santang3/scratch/glue/results/bam/final/Albuquerque_1_19_merged_sorted_dupsMarked.bam	6715755.0	5806867.0	805147134.0	803421007.0	173582.3493	227.0	13.3887	0.0242	0.8753	86.4663317825025
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_1_3_qualimap_bamqc | Albuquerque_1_3	/home/santang3/scratch/glue/results/bam/final/Albuquerque_1_3_merged_sorted_dupsMarked.bam	15406948.0	13567987.0	1736248293.0	1732488491.0	71929.5491	139.0	13.34	0.0212	1.8876	88.06407992030609
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_1_4_qualimap_bamqc | Albuquerque_1_4	/home/santang3/scratch/glue/results/bam/final/Albuquerque_1_4_merged_sorted_dupsMarked.bam	12791756.0	11095349.0	1501514049.0	1498157695.0	114254.9587	164.0	13.9855	0.0225	1.6324	86.73827893527675
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_1_5_qualimap_bamqc | Albuquerque_1_5	/home/santang3/scratch/glue/results/bam/final/Albuquerque_1_5_merged_sorted_dupsMarked.bam	7916054.0	7405377.0	1038887545.0	1036429600.0	147446.5472	208.0	14.0538	0.0225	1.1294	93.54884390631999
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_1_7_qualimap_bamqc | Albuquerque_1_7	/home/santang3/scratch/glue/results/bam/final/Albuquerque_1_7_merged_sorted_dupsMarked.bam	8281098.0	6552845.0	910098348.0	908090425.0	136244.4752	177.0	13.6389	0.0227	0.9894	79.13014675107092
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_1_8_qualimap_bamqc | Albuquerque_1_8	/home/santang3/scratch/glue/results/bam/final/Albuquerque_1_8_merged_sorted_dupsMarked.bam	9420048.0	7961313.0	1090635076.0	1088178720.0	134778.4464	173.0	13.8528	0.0234	1.1857	84.51456935251286
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_1_9_qualimap_bamqc | Albuquerque_1_9	/home/santang3/scratch/glue/results/bam/final/Albuquerque_1_9_merged_sorted_dupsMarked.bam	7613497.0	7169585.0	1004026163.0	1001794361.0	170109.868	259.0	13.1008	0.0199	1.0915	94.16940730389727
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_29_12_qualimap_bamqc | Albuquerque_29_12	/home/santang3/scratch/glue/results/bam/final/Albuquerque_29_12_merged_sorted_dupsMarked.bam	571294.0	555092.0	75987497.0	75791713.0	125726.9203	172.0	8.2045	0.0226	0.0826	97.16398211778873
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_29_13_qualimap_bamqc | Albuquerque_29_13	/home/santang3/scratch/glue/results/bam/final/Albuquerque_29_13_merged_sorted_dupsMarked.bam	24186874.0	23331254.0	3157209856.0	3149236289.0	89826.6751	160.0	14.3326	0.0217	3.4324	96.46246141605566
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_29_1_qualimap_bamqc | Albuquerque_29_1	/home/santang3/scratch/glue/results/bam/final/Albuquerque_29_1_merged_sorted_dupsMarked.bam	9955885.0	9590445.0	1201423947.0	1199018877.0	57184.6693	132.0	12.6787	0.0199	1.3061	96.32940717977357
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_29_5_qualimap_bamqc | Albuquerque_29_5	/home/santang3/scratch/glue/results/bam/final/Albuquerque_29_5_merged_sorted_dupsMarked.bam	12226871.0	11958907.0	1609606379.0	1606180767.0	63764.3025	155.0	13.7131	0.0171	1.7499	97.80840085742297
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_29_6_qualimap_bamqc | Albuquerque_29_6	/home/santang3/scratch/glue/results/bam/final/Albuquerque_29_6_merged_sorted_dupsMarked.bam	16258318.0	15854114.0	1996543343.0	1992455940.0	51170.174	134.0	13.2504	0.0209	2.1706	97.51386336520173
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_29_7_qualimap_bamqc | Albuquerque_29_7	/home/santang3/scratch/glue/results/bam/final/Albuquerque_29_7_merged_sorted_dupsMarked.bam	4083259.0	4008195.0	418908495.0	418226987.0	21971.1621	102.0	9.8815	0.0168	0.4554	98.16166449397406
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_29_8_qualimap_bamqc | Albuquerque_29_8	/home/santang3/scratch/glue/results/bam/final/Albuquerque_29_8_merged_sorted_dupsMarked.bam	15637884.0	15400514.0	1877647761.0	1873850925.0	56672.9481	125.0	12.9935	0.0209	2.0413	98.48208363740261
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_29_9_qualimap_bamqc | Albuquerque_29_9	/home/santang3/scratch/glue/results/bam/final/Albuquerque_29_9_merged_sorted_dupsMarked.bam	9449591.0	9099285.0	1233925906.0	1231062303.0	103942.1929	166.0	13.3519	0.0179	1.3415	96.29289775610394
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_2_12_qualimap_bamqc | Albuquerque_2_12	/home/santang3/scratch/glue/results/bam/final/Albuquerque_2_12_merged_sorted_dupsMarked.bam	582134.0	545796.0	72627788.0	72506677.0	74426.005	154.0	8.7668	0.0217	0.079	93.75779459712025
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_2_13_qualimap_bamqc | Albuquerque_2_13	/home/santang3/scratch/glue/results/bam/final/Albuquerque_2_13_merged_sorted_dupsMarked.bam	3278652.0	3196744.0	443138896.0	442189687.0	121694.2702	185.0	12.6098	0.0226	0.4818	97.50177816980882
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_2_14_qualimap_bamqc | Albuquerque_2_14	/home/santang3/scratch/glue/results/bam/final/Albuquerque_2_14_merged_sorted_dupsMarked.bam	12046326.0	11876530.0	1598521048.0	1594612932.0	129246.2666	172.0	13.7276	0.0228	1.7378	98.5904748053473
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_2_15_qualimap_bamqc | Albuquerque_2_15	/home/santang3/scratch/glue/results/bam/final/Albuquerque_2_15_merged_sorted_dupsMarked.bam	4732202.0	4576186.0	622532093.0	620974965.0	173307.4755	205.0	12.556	0.0214	0.6768	96.7030993182455
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_2_19_qualimap_bamqc | Albuquerque_2_19	/home/santang3/scratch/glue/results/bam/final/Albuquerque_2_19_merged_sorted_dupsMarked.bam	5600401.0	5512741.0	751204631.0	749629350.0	93956.2366	158.0	12.8034	0.0217	0.8167	98.43475493986948
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_2_1_qualimap_bamqc | Albuquerque_2_1	/home/santang3/scratch/glue/results/bam/final/Albuquerque_2_1_merged_sorted_dupsMarked.bam	6237942.0	5286487.0	701439927.0	700109727.0	76541.7264	146.0	12.6983	0.0211	0.7626	84.74729325793668
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_2_3_qualimap_bamqc | Albuquerque_2_3	/home/santang3/scratch/glue/results/bam/final/Albuquerque_2_3_merged_sorted_dupsMarked.bam	4931073.0	4650826.0	642146646.0	640808963.0	119673.0966	181.0	13.0359	0.022	0.6981	94.31671362399217
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_2_6_qualimap_bamqc | Albuquerque_2_6	/home/santang3/scratch/glue/results/bam/final/Albuquerque_2_6_merged_sorted_dupsMarked.bam	6445601.0	6315974.0	813082749.0	811473225.0	70870.1402	137.0	12.2006	0.0211	0.8839	97.98890747348463
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_2_7_qualimap_bamqc | Albuquerque_2_7	/home/santang3/scratch/glue/results/bam/final/Albuquerque_2_7_merged_sorted_dupsMarked.bam	10433720.0	9948951.0	1271992376.0	1269390119.0	163603.3658	134.0	11.9378	0.0194	1.3829	95.35382394773868
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_2_8_qualimap_bamqc | Albuquerque_2_8	/home/santang3/scratch/glue/results/bam/final/Albuquerque_2_8_merged_sorted_dupsMarked.bam	5670552.0	5505537.0	690382044.0	689115498.0	71803.6254	133.0	12.1081	0.0209	0.7506	97.08996584459503
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_32_10_qualimap_bamqc | Albuquerque_32_10	/home/santang3/scratch/glue/results/bam/final/Albuquerque_32_10_merged_sorted_dupsMarked.bam	7333041.0	7031283.0	895981104.0	894219277.0	68310.1429	138.0	12.5027	0.0217	0.9741	95.88495414112644
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_32_11_qualimap_bamqc | Albuquerque_32_11	/home/santang3/scratch/glue/results/bam/final/Albuquerque_32_11_merged_sorted_dupsMarked.bam	4179371.0	3901880.0	518880726.0	517729000.0	78672.9615	157.0	12.4364	0.0204	0.5641	93.3604602223636
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_32_12_qualimap_bamqc | Albuquerque_32_12	/home/santang3/scratch/glue/results/bam/final/Albuquerque_32_12_merged_sorted_dupsMarked.bam	6425849.0	6304315.0	832762835.0	831084773.0	84145.3598	147.0	12.9903	0.0207	0.9053	98.10867015393609
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_32_13_qualimap_bamqc | Albuquerque_32_13	/home/santang3/scratch/glue/results/bam/final/Albuquerque_32_13_merged_sorted_dupsMarked.bam	9039008.0	8817231.0	1233739760.0	1230994383.0	177123.5258	291.0	13.4012	0.0192	1.3413	97.54644536214595
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_32_14_qualimap_bamqc | Albuquerque_32_14	/home/santang3/scratch/glue/results/bam/final/Albuquerque_32_14_merged_sorted_dupsMarked.bam	13794910.0	13252999.0	1716593923.0	1713307259.0	56894.8578	140.0	13.1817	0.0203	1.8662	96.07165976436237
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_32_1_qualimap_bamqc | Albuquerque_32_1	/home/santang3/scratch/glue/results/bam/final/Albuquerque_32_1_merged_sorted_dupsMarked.bam	5598234.0	5448160.0	706761173.0	705206241.0	75237.2063	146.0	12.8682	0.0209	0.7684	97.31926175290279
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_32_3_qualimap_bamqc | Albuquerque_32_3	/home/santang3/scratch/glue/results/bam/final/Albuquerque_32_3_merged_sorted_dupsMarked.bam	6030549.0	5057137.0	709225905.0	707675443.0	177358.9515	253.0	13.0943	0.0198	0.771	83.8586503484177
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_32_7_qualimap_bamqc | Albuquerque_32_7	/home/santang3/scratch/glue/results/bam/final/Albuquerque_32_7_merged_sorted_dupsMarked.bam	956161.0	933481.0	108701036.0	108511437.0	41689.8735	116.0	8.4631	0.0181	0.1182	97.62801452893393
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_32_8_qualimap_bamqc | Albuquerque_32_8	/home/santang3/scratch/glue/results/bam/final/Albuquerque_32_8_merged_sorted_dupsMarked.bam	13415372.0	12890095.0	1608993344.0	1605846677.0	48689.0471	131.0	13.2578	0.0202	1.7492	96.08451409323573
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_32_9_qualimap_bamqc | Albuquerque_32_9	/home/santang3/scratch/glue/results/bam/final/Albuquerque_32_9_merged_sorted_dupsMarked.bam	17154343.0	16733452.0	2092485999.0	2088839512.0	51838.2651	129.0	13.0788	0.0202	2.2749	97.54644640135737
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_33_10_qualimap_bamqc | Albuquerque_33_10	/home/santang3/scratch/glue/results/bam/final/Albuquerque_33_10_merged_sorted_dupsMarked.bam	5470963.0	5180839.0	656393216.0	655100226.0	53154.352	136.0	12.5731	0.0201	0.7136	94.69702134706449
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_33_11_qualimap_bamqc | Albuquerque_33_11	/home/santang3/scratch/glue/results/bam/final/Albuquerque_33_11_merged_sorted_dupsMarked.bam	2059023.0	1390828.0	166257628.0	165975159.0	46400.4483	125.0	9.515	0.0181	0.1807	67.54795842494231
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_33_12_qualimap_bamqc | Albuquerque_33_12	/home/santang3/scratch/glue/results/bam/final/Albuquerque_33_12_merged_sorted_dupsMarked.bam	7577978.0	7247578.0	1007072965.0	1004609554.0	87788.5488	166.0	13.7182	0.0221	1.0948	95.63999789917574
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_33_14_qualimap_bamqc | Albuquerque_33_14	/home/santang3/scratch/glue/results/bam/final/Albuquerque_33_14_merged_sorted_dupsMarked.bam	4209385.0	3902981.0	547058290.0	545865459.0	79698.0225	180.0	12.5848	0.0207	0.5947	92.72093191760791
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_33_1_qualimap_bamqc | Albuquerque_33_1	/home/santang3/scratch/glue/results/bam/final/Albuquerque_33_1_merged_sorted_dupsMarked.bam	6576296.0	6398821.0	801513464.0	800017700.0	69839.0197	132.0	12.1733	0.0205	0.8714	97.30129239924725
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_33_2_qualimap_bamqc | Albuquerque_33_2	/home/santang3/scratch/glue/results/bam/final/Albuquerque_33_2_merged_sorted_dupsMarked.bam	5230035.0	4642074.0	652222417.0	650938496.0	145896.0445	270.0	12.5322	0.0177	0.7091	88.75799110331002
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_33_4_qualimap_bamqc | Albuquerque_33_4	/home/santang3/scratch/glue/results/bam/final/Albuquerque_33_4_merged_sorted_dupsMarked.bam	3859507.0	3296531.0	406476808.0	405759221.0	37118.153	132.0	11.4537	0.0173	0.4419	85.41326651305464
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_33_6_qualimap_bamqc | Albuquerque_33_6	/home/santang3/scratch/glue/results/bam/final/Albuquerque_33_6_merged_sorted_dupsMarked.bam	10774417.0	10373809.0	1441882470.0	1438477147.0	126655.8373	175.0	13.8368	0.0217	1.5676	96.28185914838826
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_33_7_qualimap_bamqc | Albuquerque_33_7	/home/santang3/scratch/glue/results/bam/final/Albuquerque_33_7_merged_sorted_dupsMarked.bam	5331128.0	5086319.0	702886677.0	701486241.0	107602.1529	206.0	12.7179	0.0186	0.7641	95.40793243005983
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_33_9_qualimap_bamqc | Albuquerque_33_9	/home/santang3/scratch/glue/results/bam/final/Albuquerque_33_9_merged_sorted_dupsMarked.bam	5106956.0	4723297.0	628782398.0	627500783.0	78799.4589	159.0	12.9953	0.0197	0.6836	92.48752094202496
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_35_10_qualimap_bamqc | Albuquerque_35_10	/home/santang3/scratch/glue/results/bam/final/Albuquerque_35_10_merged_sorted_dupsMarked.bam	8311399.0	7272131.0	888624713.0	887099754.0	36567.8264	127.0	11.9054	0.0182	0.9661	87.49587163364436
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_35_11_qualimap_bamqc | Albuquerque_35_11	/home/santang3/scratch/glue/results/bam/final/Albuquerque_35_11_merged_sorted_dupsMarked.bam	5806692.0	5590313.0	755841103.0	754249756.0	83402.2372	162.0	12.8619	0.0208	0.8217	96.27362704961793
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_35_12_qualimap_bamqc | Albuquerque_35_12	/home/santang3/scratch/glue/results/bam/final/Albuquerque_35_12_merged_sorted_dupsMarked.bam	6664033.0	5624185.0	788603850.0	786993039.0	175362.0742	351.0	12.3458	0.0202	0.8573	84.39611568550156
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_35_3_qualimap_bamqc | Albuquerque_35_3	/home/santang3/scratch/glue/results/bam/final/Albuquerque_35_3_merged_sorted_dupsMarked.bam	7595344.0	7103952.0	794547999.0	793268334.0	25870.8758	112.0	11.0083	0.0139	0.8638	93.53035227897512
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_35_4_qualimap_bamqc | Albuquerque_35_4	/home/santang3/scratch/glue/results/bam/final/Albuquerque_35_4_merged_sorted_dupsMarked.bam	9651557.0	9476669.0	1265255017.0	1262368226.0	70554.36	149.0	13.132	0.0208	1.3755	98.18798148319489
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_35_5_qualimap_bamqc | Albuquerque_35_5	/home/santang3/scratch/glue/results/bam/final/Albuquerque_35_5_merged_sorted_dupsMarked.bam	4969784.0	4573984.0	519089880.0	518382240.0	27226.5302	113.0	10.4554	0.0165	0.5643	92.03587117669501
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_35_7_qualimap_bamqc | Albuquerque_35_7	/home/santang3/scratch/glue/results/bam/final/Albuquerque_35_7_merged_sorted_dupsMarked.bam	8320926.0	8159129.0	1102209709.0	1099702303.0	95849.7092	157.0	13.2484	0.0219	1.1983	98.0555409337855
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_35_8_qualimap_bamqc | Albuquerque_35_8	/home/santang3/scratch/glue/results/bam/final/Albuquerque_35_8_merged_sorted_dupsMarked.bam	4605479.0	4436585.0	621129232.0	619707695.0	133539.3017	196.0	13.0719	0.022	0.6753	96.33275930690381
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_35_9_qualimap_bamqc | Albuquerque_35_9	/home/santang3/scratch/glue/results/bam/final/Albuquerque_35_9_merged_sorted_dupsMarked.bam	2924134.0	2731034.0	322125459.0	321602543.0	32926.707	120.0	10.4227	0.017	0.3502	93.39633546205475
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_36_10_qualimap_bamqc | Albuquerque_36_10	/home/santang3/scratch/glue/results/bam/final/Albuquerque_36_10_merged_sorted_dupsMarked.bam	5337373.0	5110043.0	697605523.0	696148989.0	94776.3713	164.0	12.9855	0.0214	0.7584	95.74078858644506
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_36_11_qualimap_bamqc | Albuquerque_36_11	/home/santang3/scratch/glue/results/bam/final/Albuquerque_36_11_merged_sorted_dupsMarked.bam	6105636.0	5258245.0	729181939.0	727635264.0	179890.5867	283.0	12.4408	0.0206	0.7927	86.12116739353607
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_36_12_qualimap_bamqc | Albuquerque_36_12	/home/santang3/scratch/glue/results/bam/final/Albuquerque_36_12_merged_sorted_dupsMarked.bam	4754618.0	4591611.0	585718177.0	584514112.0	68931.3276	142.0	12.3879	0.02	0.6368	96.57160680416386
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_36_13_qualimap_bamqc | Albuquerque_36_13	/home/santang3/scratch/glue/results/bam/final/Albuquerque_36_13_merged_sorted_dupsMarked.bam	5628552.0	5521170.0	743957507.0	742317546.0	100968.1887	154.0	12.8651	0.0217	0.8088	98.0921913842139
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_36_1_qualimap_bamqc | Albuquerque_36_1	/home/santang3/scratch/glue/results/bam/final/Albuquerque_36_1_merged_sorted_dupsMarked.bam	7390517.0	7153615.0	894201646.0	892595238.0	52429.428	134.0	12.5705	0.0207	0.9721	96.7945138344178
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_36_2_qualimap_bamqc | Albuquerque_36_2	/home/santang3/scratch/glue/results/bam/final/Albuquerque_36_2_merged_sorted_dupsMarked.bam	7193022.0	6711240.0	930771443.0	928707341.0	168424.3409	227.0	13.4177	0.023	1.0119	93.30209194410916
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_36_3_qualimap_bamqc | Albuquerque_36_3	/home/santang3/scratch/glue/results/bam/final/Albuquerque_36_3_merged_sorted_dupsMarked.bam	1877973.0	1723347.0	191791570.0	191463485.0	45757.3867	111.0	9.2442	0.0153	0.2085	91.7663352987503
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_36_6_qualimap_bamqc | Albuquerque_36_6	/home/santang3/scratch/glue/results/bam/final/Albuquerque_36_6_merged_sorted_dupsMarked.bam	6199434.0	6067780.0	743221046.0	741831763.0	42370.8903	127.0	12.5014	0.02	0.808	97.87635451881575
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_36_7_qualimap_bamqc | Albuquerque_36_7	/home/santang3/scratch/glue/results/bam/final/Albuquerque_36_7_merged_sorted_dupsMarked.bam	1486038.0	1403055.0	168423703.0	168149577.0	48956.9273	122.0	9.3401	0.0166	0.1831	94.41582247560292
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_36_9_qualimap_bamqc | Albuquerque_36_9	/home/santang3/scratch/glue/results/bam/final/Albuquerque_36_9_merged_sorted_dupsMarked.bam	325793.0	305398.0	40328483.0	40246122.0	99928.9572	154.0	7.2926	0.0222	0.0438	93.73989005288634
